
COUNTRY,CATEGORY_TITLE,TOP_RANKED_VIDEOS_COUNT
BR,Gaming,9
BR,People & Blogs,3
BR,Science & Technology,3
BR,Education,1
BR,Travel & Events,1
BR,Sports,1
CA,Comedy,5
CA,People & Blogs,4
CA,Gaming,2
CA,Sports,2
CA,Science & Technology,2
CA,Howto & Style,1
CA,Education,1
CA,Film & Animation,1
DE,People & Blogs,5
DE,Gaming,3
DE,Science & Technology,3
DE,Sports,3
DE,Comedy,3
DE,Film & Animation,1
FR,Gaming,5
FR,Science & Technology,5
FR,People & Blogs,3
FR,Comedy,2
FR,Sports,2
FR,Education,1
GB,People & Blogs,4
GB,Gaming,3
GB,Comedy,3
GB,Autos & Vehicles,2
GB,Sports,2
GB,Science & Technology,2
GB,Howto & Style,1
GB,Film & Animation,1
IN,Comedy,5
IN,Science & Technology,5
IN,People & Blogs,4
IN,Education,1
IN,Film & Animation,1
IN,Sports,1
IN,Gaming,1
JP,Gaming,8
JP,Science & Technology,3
JP,People & Blogs,3
JP,Sports,2
JP,Travel & Events,1
JP,Education,1
KR,Gaming,8
KR,Science & Technology,3
KR,Sports,2
KR,Autos & Vehicles,2
KR,Film & Animation,1
KR,Education,1
KR,Travel & Events,1
MX,Gaming,9
MX,Science & Technology,3
MX,People & Blogs,3
MX,Education,1
MX,Travel & Events,1
MX,Sports,1
RU,Sports,4
RU,Gaming,2
RU,Nonprofits & Activism,2
RU,People & Blogs,2
RU,News & Politics,2
RU,Science & Technology,2
RU,Howto & Style,2
RU,Comedy,1
RU,Education,1
US,Science & Technology,4
US,Sports,4
US,Gaming,3
US,People & Blogs,2
US,News & Politics,1
US,Howto & Style,1
US,Film & Animation,1
US,Education,1
US,Comedy,1
